"","communication_channel","call_duration","call_frequency","previous_campaign_outcome","conversion_status","geoid","lead_source","update_me","quater_res","len_business"
"1","unidentified",1,1,"successful","not_converted","IN","Welingak Website","Y","2023 Q2",19
"2","unidentified",307,2,"unidentified","not_converted","CT","Olark Chat","N","2023 Q4",12
"3","mobile",113,1,"unidentified","not_converted","SD","Olark Chat","Y","2023 Q3",0
"4","mobile",72,5,"unidentified","not_converted","OK","Olark Chat","N","2023 Q3",11
"5","landline",184,4,"unidentified","not_converted","IN","Direct Traffic","N","2023 Q3",0
"6","unidentified",158,2,"unidentified","not_converted","MD","Google","Y","2023 Q1",0
"7","mobile",563,1,"unidentified","not_converted","DC","Direct Traffic","Y","2023 Q2",13
"8","mobile",651,1,"successful","converted","CT","Direct Traffic","N","2023 Q2",17
"9","mobile",260,5,"successful","converted","NC","Google","N","2023 Q4",14
"11","unidentified",647,7,"unidentified","not_converted","OR","Google","Y","2023 Q2",15
"13","mobile",961,4,"unidentified","converted","CA","Olark Chat","N","2023 Q4",0
"14","mobile",153,3,"unidentified","not_converted","SD","Olark Chat","N","2023 Q2",0
"15","unidentified",47,1,"unidentified","not_converted","DC","Direct Traffic","Y","2024 Q1",7
"16","mobile",170,3,"unidentified","not_converted","MA","Organic Search","N","2024 Q1",0
"17","mobile",239,2,"unsuccessful","not_converted","WA","Google","N","2023 Q4",11
"18","mobile",246,3,"unidentified","not_converted","NH","Direct Traffic","N","2023 Q3",0
"19","mobile",72,6,"unsuccessful","not_converted","UT","Google","N","2023 Q3",0
"20","unidentified",143,1,"unidentified","not_converted","AZ","Olark Chat","Y","2024 Q2",4
"21","mobile",1834,2,"unidentified","not_converted","OK","Reference","Y","2023 Q4",0
"22","mobile",200,2,"unidentified","not_converted","SD","Google","N","2023 Q4",11
"24","unidentified",102,3,"unidentified","not_converted","CA","Google","Y","2023 Q1",0
"25","unidentified",117,3,"unidentified","not_converted","NE","Direct Traffic","N","2023 Q4",19
"26","mobile",134,1,"unsuccessful","not_converted","MN","Olark Chat","N","2023 Q4",20
"27","mobile",551,1,"unsuccessful","not_converted","TX","Organic Search","N","2023 Q1",20
"28","mobile",164,1,"unidentified","not_converted","OK","Google","N","2024 Q1",7
"29","unidentified",191,2,"unidentified","not_converted","HI","Direct Traffic","Y","2023 Q1",0
"30","mobile",36,1,"other_outcome","not_converted","HI","Google","N","2024 Q1",14
"31","mobile",105,4,"unidentified","not_converted","CA","Google","N","2023 Q1",0
"32","mobile",256,1,"successful","not_converted","UT","Direct Traffic","Y","2023 Q1",8
"33","unidentified",198,1,"unidentified","not_converted","VA","Reference","Y","2023 Q2",17
"34","mobile",89,4,"unsuccessful","not_converted","CA","Direct Traffic","Y","2023 Q2",2
"35","mobile",135,6,"unidentified","not_converted","WA","Google","Y","2023 Q3",12
"37","mobile",182,2,"unidentified","not_converted","MA","Facebook","Y","2023 Q1",0
"38","unidentified",477,2,"unidentified","not_converted","NY","Direct Traffic","N","2023 Q4",0
"39","mobile",332,2,"unidentified","not_converted","OH","Reference","N","2023 Q4",18
"40","landline",287,1,"unidentified","not_converted","WV","Pay per Click Ads","N","2024 Q2",20
"41","mobile",171,13,"unidentified","not_converted","NY","Direct Traffic","N","2024 Q1",0
"42","mobile",161,7,"unidentified","not_converted","CA","Direct Traffic","N","2023 Q1",8
"43","mobile",331,2,"unidentified","not_converted","VA","Olark Chat","N","2024 Q2",0
"45","mobile",19,19,"unidentified","not_converted","VA","Google","Y","2023 Q3",0
"47","mobile",85,3,"unidentified","not_converted","KY","Direct Traffic","N","2024 Q2",0
"48","mobile",273,3,"unidentified","not_converted","NY","Direct Traffic","N","2023 Q3",11
"49","mobile",11,5,"unsuccessful","not_converted","ME","Google","Y","2024 Q1",18
"50","unidentified",388,1,"unidentified","not_converted","RI","Organic Search","Y","2023 Q3",3
"51","mobile",261,3,"unidentified","not_converted","CO","Google","Y","2024 Q2",1
"52","unidentified",172,3,"unidentified","not_converted","MO","Google","N","2023 Q3",14
"53","mobile",278,4,"other_outcome","not_converted","TN","Olark Chat","N","2023 Q3",0
"54","mobile",117,1,"unidentified","not_converted","OH","Direct Traffic","Y","2023 Q3",0
"55","mobile",260,1,"unidentified","not_converted","SC","Direct Traffic","N","2023 Q3",0
"56","mobile",249,1,"unidentified","not_converted","OK","Google","N","2024 Q1",17
"57","mobile",62,1,"unidentified","not_converted","MD","Direct Traffic","N","2023 Q1",15
"58","unidentified",423,1,"unidentified","not_converted","IA","Organic Search","Y","2024 Q2",0
"59","unidentified",50,3,"unidentified","not_converted","MN","Organic Search","N","2023 Q4",4
"60","mobile",133,1,"unsuccessful","not_converted","CA","Google","N","2023 Q2",0
"61","unidentified",133,3,"unidentified","not_converted","TX","Google","N","2023 Q1",11
"62","mobile",262,2,"unidentified","not_converted","MA","Olark Chat","N","2023 Q1",0
