"Date","hits","time","post","following","event","major_event","diff_hours","new","avg_new","weekday"
2022-04-11,7303,4,38,38,0,0,0,0,0,"Monday"
2022-04-12,7334,12,39,38,0,0,32,55,1.72,"Tuesday"
2022-04-13,7352,13,39,38,0,0,25,42,1.68,"Wednesday"
2022-04-14,7359,9,40,40,0,0,20,31,1.55,"Thursday"
2022-04-15,7371,16,40,41,1,0,31,36,1.16,"Friday"
2022-04-16,7381,10,40,41,0,0,18,34,1.89,"Saturday"
2022-04-17,7397,13,40,41,0,0,27,40,1.48,"Sunday"
2022-04-18,7411,12,40,42,0,0,23,38,1.65,"Monday"
2022-04-19,7425,12,40,42,0,0,24,38,1.58,"Tuesday"
2022-04-20,7448,22,40,42,0,0,34,47,1.38,"Wednesday"
2022-04-21,7462,14,40,42,0,0,16,38,2.38,"Thursday"
2022-04-22,7487,18,41,42,0,1,28,49,1.75,"Friday"
2022-04-23,7509,11,41,43,0,0,17,46,2.71,"Saturday"
2022-04-24,7535,19,41,42,0,0,32,50,1.56,"Sunday"
2022-04-25,7547,13,41,42,0,0,18,36,2,"Monday"
2022-04-26,7561,16,41,42,0,0,27,38,1.41,"Tuesday"
2022-04-27,7574,20,41,42,0,0,28,37,1.32,"Wednesday"
2022-04-28,7588,13,41,42,1,0,17,38,2.24,"Thursday"
2022-04-29,7645,13,41,42,0,0,24,81,3.38,"Friday"
2022-04-30,7699,13,41,42,0,0,24,78,3.25,"Saturday"
2022-05-01,7732,13,41,42,0,0,24,57,2.38,"Sunday"
2022-05-02,7756,12,41,42,0,0,23,48,2.09,"Monday"
2022-05-03,7785,14,41,43,0,0,23,48,2.09,"Monday"

